ITEM_ID,GRAPH_ID,SENTENCE,PRED_HEAD_IDX,ARG_HEAD_IDX,LABEL
ewt-train-12_6_2,ewt-train-12,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .",6,2,0
ewt-train-12_10_8,ewt-train-12,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .",10,8,0
ewt-train-12_10_12,ewt-train-12,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .",10,12,0
ewt-train-18_1_0,ewt-train-18,"Guerrillas killed an engineer , Asi Ali , from Tikrit .",1,0,0
ewt-train-22_3_0,ewt-train-22,"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .",3,0,0
ewt-train-22_3_5,ewt-train-22,"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .",3,5,0
ewt-train-27_2_1,ewt-train-27,The Commission said it had no legal grounds for such an exclusion .,2,1,0
ewt-train-38_6_5,ewt-train-38,Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .,6,5,0
ewt-train-39_5_1,ewt-train-39,A team from the court managed to take his deposition before he died .,5,1,0
ewt-train-46_2_3,ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",2,3,0
ewt-train-46_13_15,ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",13,15,0
ewt-train-46_32_31,ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",32,31,0
ewt-train-46_33_34,ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",33,34,0
ewt-train-46_37_41,ewt-train-46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",37,41,0
ewt-train-48_2_3,ewt-train-48,"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .",2,3,0
ewt-train-48_14_11,ewt-train-48,"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .",14,11,0
ewt-train-48_23_11,ewt-train-48,"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .",23,11,0
ewt-train-52_1_2,ewt-train-52,"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .",1,2,0
ewt-train-52_33_30,ewt-train-52,"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .",33,30,0
ewt-train-52_38_34,ewt-train-52,"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .",38,34,0
ewt-train-56_1_0,ewt-train-56,"I guess it 's just the old new Arab ' Me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' The enemy of my enemy is my friend ' thing going on again .",1,0,0
ewt-train-62_4_2,ewt-train-62,Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone .,4,2,0
ewt-train-63_4_3,ewt-train-63,Al - Iraqiyah tv said that ICDC were controlling Ramadi .,4,3,0
ewt-train-63_8_6,ewt-train-63,Al - Iraqiyah tv said that ICDC were controlling Ramadi .,8,6,0
ewt-train-63_8_9,ewt-train-63,Al - Iraqiyah tv said that ICDC were controlling Ramadi .,8,9,0
ewt-train-64_2_1,ewt-train-64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",2,1,0
